category,product name,stock code,PIECE Size (Lt),Pieces per PACK (1 pack MOQ),MOQ PIECE PRICE,Minimum pack order for discounted price,DISCOUNTED PRICE,Floor Price Buy QTY,Floor  PACK PRICE,Rec Retail Price,Rec Retail Price/L,,
Crop Nutrition,B&B Super fine,BBSF0001GP,1,12,$18.00 ,2,$17.00 ,10,$16.00 ,$25.00 ,$25.00 ,,
Crop Nutrition,B&B Super fine,BBSF0005,5,4,$64.00 ,2,$58.00 ,10,$55.00 ,$75.00 ,$15.00 ,,
Crop Nutrition,B&B Super fine,BBSF0020,20,1,$172.00 ,32,$157.00 ,128,$142.00 ,$195.00 ,$9.75 ,,
Crop Nutrition,B&B Super fine,BBSF0200,200,1,"$1,500.00 ",4,"$1,350.00 ",16,"$1,250.00 ","$1,924.00 ",$9.62 ,,
Crop Nutrition,B&B Super fine,BBSF1000,1000,1,"$6,100.00 ",2,"$5,480.00 ",5,"$4,990.00 ","$6,950.00 ",$6.95 ,,
Crop Nutrition,Charge,CHAR0005,5,4,$55.00 ,4,$53.00 ,,,$73.50 ,$14.70 ,,
Crop Nutrition,Charge,CHAR0020,20,1,$200.00 ,32,$195.00 ,128,$183.00 ,$267.00 ,$13.35 ,,
Crop Nutrition,Charge,CHAR0200,200,1,"$1,926.00 ",4,"$1,875.00 ",16,"$1,556.00 ","$2,568.00 ",$12.84 ,,
Crop Nutrition,Charge,CHAR1000,1000,1,"$8,500.00 ",2,"$8,250.00 ",5,"$6,300.00 ","$11,000.00 ",$11.00 ,,
Crop Nutrition,Calcium Xtra,CALX0005,5,4,$65.00 ,4,$61.75 ,10,$0.00 ,$100.00 ,$20.00 ,,
Crop Nutrition,Calcium Xtra,CALX0020,20,1,$90.00 ,40,$85.00 ,160,$0.00 ,$172.00 ,$8.60 ,,
Crop Nutrition,Calcium Xtra,CALX0200,200,1,$950.00 ,4,$850.00 ,16,$0.00 ,"$1,636.00 ",$8.18 ,,
Crop Nutrition,Calcium Xtra,CALX1000,1000,1,"$3,950.00 ",2,"$3,750.00 ",5,$0.00 ,"$7,050.00 ",$7.05 ,,
Crop Nutrition,Boron Xtra,BORX0005,5,4,$85.00 ,2,$80.00 ,10,$76.50 ,$100.00 ,$20.00 ,,
Crop Nutrition,Boron Xtra,BORX0020,20,1,$150.00 ,40,$143.00 ,160,$135.00 ,$172.00 ,$8.60 ,,
Crop Nutrition,Boron Xtra,BORX0200,200,1,"$1,430.00 ",4,"$1,358.00 ",16,"$1,290.00 ","$1,636.00 ",$8.18 ,,
Crop Nutrition,Boron Xtra,BORX1000,1000,1,"$6,150.00 ",2,"$5,850.00 ",5,"$5,540.00 ","$7,050.00 ",$7.05 ,,
Crop Nutrition,Total K,TOTK0020,20,1,$126.00 ,40,$120.00 ,160,$113.00 ,$144.00 ,$7.20 ,,
Crop Nutrition,Total K,TOTK0200,200,1,"$1,010.00 ",4,$960.00 ,16,$910.00 ,"$1,154.00 ",$5.77 ,,
Crop Nutrition,Total K,TOTK0800,800,1,"$3,720.00 ",2,"$3,536.00 ",5,"$3,336.00 ","$4,240.00 ",$5.30 ,,
Crop Nutrition,Zinc Xtra,ZINX0020,20,1,$109.00 ,40,$103.00 ,160,$99.00 ,$143.00 ,$7.15 ,,
Crop Nutrition,Zinc Xtra,ZINX0200,200,1,"$1,100.00 ",4,"$1,050.00 ",16,$985.00 ,"$1,326.00 ",$6.63 ,,
Crop Nutrition,Zinc Xtra,ZINX1000,1000,1,"$4,950.00 ",2,"$4,750.00 ",5,"$4,500.00 ","$6,400.00 ",$6.40 ,,
IPM,SERO-X,SX0001,1,12,$30.00 ,2,$28.50 ,10,$15.00 ,$60.00 ,$60.00 ,,
IPM,SERO-X,SX0005,5,4,$150.00 ,2,$142.50 ,10,$100.00 ,$185.00 ,$37.00 ,,
IPM,SERO-X,SX0020,20,1,$525.00 ,20,$485.00 ,40,$360.00 ,$600.00 ,$30.00 ,,
IPM,SERO-X,SX0200,200,1,"$4,510.00 ",2,"$4,390.00 ",2,"$3,380.00 ","$5,150.00 ",$25.75 ,,
IPM,SERO-X,SX1000,1000,1,"$22,000.00 ",2,"$21,450.00 ",3,"$16,500.00 ","$25,150.00 ",$25.15 ,,
Adjuvant,Steadfast,STEA0020,20,1,$280.00 ,40,$270.00 ,40,$250.00 ,$350.00 ,$17.50 ,,
Adjuvant,Steadfast,STEA0200,200,1,"$2,880.00 ",4,"$2,550.00 ",4,"$2,400.00 ","$3,290.00 ",$16.45 ,,
Adjuvant,Steadfast,STEA1000,1000,1,"$10,000.00 ",2,"$9,800.00 ",2,"$9,250.00 ","$13,500.00 ",$13.50 ,,
Defoliant,Leafex,LEAF0200,200,1,$930.00 ,4,$800.00 ,4,$800.00 ,,,,
Defoliant,Leafex,LEAF1000,1000,1,"$4,100.00 ",5,"$3,750.00 ",5,"$3,750.00 ",,,,
